Job_Title,Company,City,State,Work_Type,Min_Salary,Max_Salary,Unit,Posted_Date,Skills,Avg_Salary,Job
Data Analyst,Northwell Health,Lake Success,NY,Full-time,64350.0,98500.0,Year,0.3333333333333333,"['Mid-level', ""Bachelor's degree""]",81425.0,Data Analyst
Data Analyst I,"Champion Energy Services, LLC",Houston,TX,Full-time,63000.0,79800.0,Year,0.7083333333333334,"['Microsoft Excel', 'Microsoft Access', 'Data analysis skills', 'Microsoft SQL Server', 'Microsoft Office', 'SQL', ""Bachelor's degree"", 'Certified Pediatric Nurse', 'Communication skills', 'Entry level']",71400.0,Data Analyst
Data Analyst,Cardinal Health,United States,Unknown,Full-time,79700.0,113800.0,Year,0.75,"['Microsoft Excel', 'Bachelor of Science', 'Mid-level', 'Tableau', 'SQL', ""Bachelor's degree""]",96750.0,Data Analyst
Data Analyst,Careers Inc.,Puerto Rico,Unknown,Full-time,22000.0,27800.0,Year,0.4166666666666667,"['Bilingual', 'Spanish', 'Power BI', 'Oracle', 'Computer Science', 'Sales', 'English', 'Information Systems', 'Mid-level', 'Analysis skills', ""Bachelor's degree"", 'Data visualization', '2 years']",24900.0,Data Analyst
Quality Control Analyst,"Commercial Casework, Inc",Social Circle,GA,Full-time | Contract,31.308960396039602,38.089059405940596,Hour,0.7916666666666666,"['Laboratory experience', 'Quality management', 'Mid-level', 'High school diploma or GED', 'Analysis skills', 'Quality assurance', 'Quality control', 'Laboratory techniques', 'QA/QC', 'Quality systems', '1 year', 'Manufacturing']",34.6990099009901,Data Analyst
Data Analyst,Intone Networks,Montgomery,AL,Contract,50.0,50.0,Hour,0.7916666666666666,"['Power BI', 'Data analysis skills', 'Snowflake', 'SQL']",50.0,Data Analyst
Junior Data Analyst,IDEXX,Nashville,TN,Full-time,75000.0,85000.0,Year,5.0,"['Looker', 'Statistics', 'Power BI', 'Microsoft Excel', 'DevOps', 'C#', 'R', 'Microsoft SQL Server', 'Veterinary experience', 'Tableau', 'Java', 'SQL', ""Bachelor's degree"", '1 year', 'Python', 'Entry level']",80000.0,Data Analyst
Junior-Level Data Engineer (Senior Programmer Analyst) (Vacancies),City of Columbus,Columbus,OH,Full-time,41.45,62.16,Hour,1.0,"['RDBMS', 'Azure', 'RESTful API', 'SAS', 'R', 'Microsoft SQL Server', 'Mid-level', 'Tableau', '3 years', 'Java', 'SOAP', 'Jupyter', 'Statistical analysis', 'C++', 'Machine learning', 'Scala', 'REST', 'Talend', 'GitHub', 'SSIS', 'Business requirements', 'AI', 'Informatica', ""Associate's degree""]",51.805,Data Analyst
Data Analyst,"The WellFund, LLC",Greenwood,IN,Unknown,36700.0,50600.0,Year,3.0,"['Statistics', 'Computer science', 'Power BI', 'Microsoft Excel', 'R', 'Data analysis skills', 'Tableau', 'Databases', 'SQL', 'Analysis skills', ""Bachelor's degree"", 'Scripting', 'Data analytics', 'Organizational skills', '1 year', 'Data visualization', 'AI', 'Communication skills', 'Data manipulation', 'Python', 'Entry level']",43650.0,Data Analyst
Business Data Analyst I,DHL,Westerville,OH,Full-time,55400.0,68200.0,Year,5.0,"['Statistics', 'Data structures', ""Bachelor's degree"", 'Organizational skills', 'Logistics', '1 year', 'Business', 'Entry level']",61800.0,Data Analyst
Super User & Data Analyst (1st Shift) - Sacramento CA,APL Logistics,Sacramento,CA,Full-time,53500.0,62800.0,Year,0.625,[],58150.0,Data Analyst
Network Systems Support Analyst I/II,"Merced County, CA",Merced,CA,Full-time,60923.2,85852.0,Year,3.0,"['Computer operation', 'Computer science', 'Software troubleshooting', 'No experience needed', 'Mid-level', 'Computer networking', 'Computer skills']",73387.6,Data Analyst
JR Business Analyst,"BAKERSFIELD FAMILY MEDICAL GROUP, INC.",Bakersfield,CA,Unknown,26.09,30.69,Hour,10.0,"['Microsoft Word', 'Business Management', 'Report writing', 'Microsoft Excel', 'Microsoft Outlook', 'Statistics', 'Writing skills', 'Mathematics', 'Microsoft Office', 'SQL', 'Analysis skills', 'Quality assurance', ""Bachelor's degree"", 'Organizational skills', 'Pivot tables', '1 year', 'Communication skills', 'Entry level']",28.39,Data Analyst
Data Analyst,Augusta-Richmond County,Augusta,GA,Full-time,45738.0,52599.0,Year,4.0,['1 year'],49168.5,Data Analyst
Investment Data Analyst- Investment Operations,California Public Employees' Retirement System (CalPERS),Sacramento,CA,Full-time,7760.0,9713.0,Year,4.0,"['Data modeling', 'Mid-level', 'Data governance', 'Analysis skills']",8736.5,Data Analyst
Data Analyst,Imperial Headwear,Bourbon,MO,Full-time,75000.0,85000.0,Year,4.0,"['Power BI', 'Microsoft Excel', 'Business intelligence', 'Mid-level', 'Finance', 'SQL', ""Bachelor's degree"", 'Data analytics', '1 year', 'Data visualization', 'Business']",80000.0,Data Analyst
Data and Reporting Analyst,Charlotte-Mecklenburg Schools,Charlotte,NC,Full-time,55068.0,63636.0,Year,6.0,"['Power BI', 'Computer Science', 'Relational databases', 'Data structures', 'Mid-level', 'Microsoft Office', 'Tableau', 'Databases', 'SQL', 'Database management', ""Bachelor's degree"", 'Data analytics', '1 year', 'Data visualization', 'Communication skills', 'Data Science']",59352.0,Data Analyst
Business Analyst Support,California Public Employees' Retirement System (CalPERS),Sacramento,CA,Full-time,6323.0,10230.0,Year,6.0,"['MCP', 'System design']",8276.5,Data Analyst
Junior/ Entry Level Construction Data Analyst,"KENPAT GULF COAST, LLC",Tampa,FL,Full-time,37900.0,54400.0,Year,6.0,"['Power BI', 'Microsoft Excel', 'Macros', 'Pivot tables', 'AI', 'Data transformation', 'Communication skills']",46150.0,Data Analyst
Statistical Programming Analyst I,BlueCross BlueShield of South Carolina,Columbia,SC,Full-time,53400.0,67200.0,Year,3.0,"['Power BI', 'Microsoft Excel', 'Statistics', 'SAS', 'Customer service', 'Relational databases', 'R', 'Mathematics', 'No experience needed', 'Research', 'Microsoft Office', 'Tableau', 'SQL', 'Analysis skills', ""Bachelor's degree"", 'VBA', 'IT', '1 year', 'Data visualization', 'Communication skills']",60300.0,Data Analyst
DBA/Data Analyst I,"City of Midland, TX",Texas,Unknown,Full-time,62325.87219178082,84745.32857020549,Year,7.0,"['ArcGIS', 'Computer science', 'Power BI', 'Data modeling', 'Oracle', 'Geography', 'Computer Science', 'CSS', 'Software troubleshooting', 'React', 'Web development', 'Relational databases', 'Microsoft SQL Server', 'Information Systems', 'Mid-level', 'Tableau', ""Master's degree"", 'Databases', 'SQL', 'Database administration', 'Analysis skills', ""Driver's License"", ""Bachelor's degree"", 'JavaScript', 'PostgreSQL', 'REST', 'APIs', 'Computer skills', 'JSON', 'Geographic Information Systems', 'Data visualization', 'Communication skills', 'Python', 'CompTIA A+', 'HTML', 'MySQL', 'GIS']",73535.60038099316,Data Analyst
Junior Business Analyst,Leeds Professional Resources,Miramar,FL,Full-time,60000.0,75000.0,Year,6.0,"['Power BI', 'Computer Science', 'R', 'Business analysis', 'Data analysis skills', 'Tableau', 'SQL', 'Analysis skills', ""Bachelor's degree"", 'VBA', 'ETL', 'Agile', 'Business Administration', '1 year', 'Business', 'Communication skills', 'Entry level']",67500.0,Data Analyst
Analyst Data,Hilton Grand Vacations,Las Vegas,NV,Full-time,67400.0,84400.0,Year,11.0,"['Microsoft Powerpoint', 'Microsoft Word', 'Hospitality', 'Cognos', 'Power BI', 'Microsoft Excel', 'Oracle', 'Microsoft Outlook', 'Relational databases', 'SSRS', 'Mid-level', 'Databases', 'SQL', 'Math', 'Data analytics', '2 years', 'Communication skills', 'Time management']",75900.0,Data Analyst
Investment Data Analyst,Vanguard,Scottsdale,AZ,Unknown,60900.0,74000.0,Year,4.0,"['Investment management', 'Power BI', 'Management', 'Research', 'Mid-level', 'Microsoft Office', 'Finance', 'SQL', 'Analysis skills', 'Project management', ""Bachelor's degree"", 'VBA', 'Communication skills', 'Python']",67450.0,Data Analyst
"Analyst, Contact Center Data Analytics and Reporting",Webster Bank,Stamford,CT,Unknown,74000.0,80000.0,Year,0.4583333333333333,"['Microsoft Word', 'Six Sigma Certification', 'Sales support', 'Microsoft Excel', 'Microsoft Access', 'Sales', 'Salesforce', 'Microsoft Publisher', 'Process improvement', 'Mid-level', 'Microsoft Office', 'Tableau', 'Six Sigma', 'Organizational skills', 'Financial services', 'Process management', 'Banking']",77000.0,Data Analyst
Production Data Analyst,Diversified Gas & Oil Corporation,Birmingham,AL,Unknown,56800.0,70300.0,Year,0.4583333333333333,"['Microsoft Word', 'Power BI', 'Microsoft Excel', 'Microsoft Outlook', 'Mid-level', 'Databases', 'SQL', 'Analysis skills', 'Math', 'Accounting', ""Associate's degree""]",63550.0,Data Analyst
DATA ANALYST II,State of Rhode Island,Providence,RI,Unknown,99320.0,112649.0,Year,0.4583333333333333,"['Mid-level', 'Analysis skills', 'Communication skills']",105984.5,Data Analyst
Business Analyst,Minnesota City Jobs,Adams,MN,Full-time,76323.0,87500.0,Year,0.4583333333333333,"['Web accessibility', 'Mid-level']",81911.5,Data Analyst
Wage & Contribution Data Analyst(Treasury Retirement),State of Rhode Island,Providence,RI,Unknown,65937.0,73855.0,Year,6.0,[],69896.0,Data Analyst
Data Analyst,Sony Electronics,Culver City,CA,Full-time,95000.0,105000.0,Year,12.0,"['Bachelor of Science', 'Data analysis skills', 'Tableau', 'SQL', 'Intelligence targeting', 'Customer segmentation', 'Analysis skills', ""Bachelor's degree"", 'Data management', 'Data analytics', 'Organizational skills', 'Data collection', '1 year', 'Python']",100000.0,Data Analyst
"Data Management Analyst, Entry",PPG,Woodinville,WA,Full-time,62325.87219178082,84745.32857020549,Year,12.0,"['Microsoft Excel', 'Oracle', 'Computer Science', 'ERP systems', ""Bachelor's degree"", 'Data management', 'Informatica', 'Entry level', 'Under 1 year', 'Analytics']",73535.60038099316,Data Analyst
Data Analyst,Johns Hopkins University,Baltimore,MD,Full-time,46200.0,80799.0,Year,10.0,"['Microsoft Word', 'Microsoft Excel', 'Management', 'Salesforce', 'Mid-level', 'Microsoft Office', ""Bachelor's degree"", 'Organizational skills', '1 year', 'Data transformation']",63499.5,Data Analyst
"Data Operating Center, Analyst",BlackRock Investments,Wilmington,DE,Unknown,107000.0,139000.0,Year,10.0,[],123000.0,Data Analyst
IT Business Analyst,Fastenal,Winona,MN,Full-time,60000.0,67000.0,Year,7.0,"['Software troubleshooting', 'Inventory management', 'English', 'Mid-level', 'Math', ""Bachelor's degree"", 'IT', 'Computer skills', 'Communication skills', 'SDLC']",63500.0,Data Analyst
Data Analyst,"9290 FCX Performance, Inc.",Raleigh,NC,Full-time,62325.87219178082,84745.32857020549,Year,7.0,"['Microsoft Word', 'Computer science', 'Microsoft Excel', 'Computer Science', 'Maximo', 'PCI', 'Customer service', 'Military', 'CMMS', 'Data entry', 'Business Administration', ""Associate's degree"", '2 years']",73535.60038099316,Data Analyst
GIS Data Analyst,C.L. Hebron Enterprises Inc,Baton Rouge,LA,Full-time,65724.0,69790.0,Year,13.0,"['Geospatial modeling', 'Mapping using GIS', 'Mid-level', 'Analysis skills', 'Machine learning', 'Data management', 'Artificial Intelligence technologies', 'Developing big data ETL processes', 'ETL', 'AI', 'ETL process management', 'GIS']",67757.0,Data Analyst
Entry Level Data Analyst,Knowledge Services,Indianapolis,IN,Full-time,42800.0,50100.0,Year,13.0,"['Microsoft Powerpoint', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Office', 'High school diploma or GED', ""Bachelor's degree"", 'Organizational skills', 'Leadership', 'Communication skills', 'Entry level']",46450.0,Data Analyst
Data Analyst Programmer,Mohave Community College,Kingman,AZ,Full-time,55250.0,61880.0,Year,6.0,"['Desktop support', 'Software troubleshooting', 'Mid-level', 'Tableau', 'SQL']",58565.0,Data Analyst
Data Analyst,DCCCA,Wichita,KS,Full-time,44700.0,56600.0,Year,6.0,"['Microsoft Powerpoint', 'Microsoft Word', 'Microsoft Excel', 'Data analysis skills', 'Mid-level', 'Microsoft Office', ""Driver's License"", ""Bachelor's degree"", 'Quality systems']",50650.0,Data Analyst
Jr. Customer Success Analyst (Data Focus),webfx.com,Harrisburg,PA,Full-time,45100.0,49500.0,Year,12.0,"['Working with people with disabilities', 'Customer service', 'Salesforce', 'Google Tag Manager', '3 years', 'Analysis skills', 'Project management', ""Bachelor's degree"", 'Digital marketing', 'Customer relationship management', 'HubSpot', 'Google Ads', 'Google Analytics']",47300.0,Data Analyst
Business Data Analyst I,Liberty University,Remote,Unknown,Full-time,43600.0,51900.0,Year,0.8333333333333334,"['Microsoft Excel', 'Microsoft Access', 'Writing skills', 'SSRS', 'Tableau', 'SQL', ""Driver's License"", ""Bachelor's degree"", 'Organizational skills', 'Computer skills', '1 year', 'Communication skills']",47750.0,Data Analyst
Data Analyst I,Consumers Energy,Jackson,MI,Contract,30.0,38.0,Hour,6.0,"['Power BI', 'Microsoft SQL Server', 'Mathematics', 'Mid-level', 'Tableau', 'SQL', ""Bachelor's degree"", 'SharePoint', 'VBA', 'IT', '2 years', 'Accounting']",34.0,Data Analyst
HL7 Data Analyst (4206020),State of Missouri,Jefferson City,MO,Full-time,50000.0,60000.0,Year,13.0,"['Statistical software', 'Computer science', 'SAS', 'R', 'Mid-level', 'SQL', ""Driver's License"", ""Bachelor's degree"", 'Public health', '2 years']",55000.0,Data Analyst
Data Analyst,PC Construction Company,South Burlington,VT,Full-time,55800.0,70700.0,Year,6.0,"['Power BI', 'Microsoft Excel', 'Computer Science', 'Construction', '1 year', ""Associate's degree"", 'Entry level']",63250.0,Data Analyst
Provider Data Analyst,Dignity Health Management Services,Bakersfield,CA,Full-time,25.25,36.61,Hour,6.0,['Mid-level'],30.93,Data Analyst
Data Analyst,Gold Standard Auctions,Dallas,TX,Full-time,24.0,30.0,Hour,3.0,"['E-commerce', 'SQL', 'Organizational skills', 'Python']",27.0,Data Analyst
Data Management Analyst I/II,Florida Gulf Coast University,Fort Myers,FL,Full-time,39100.0,49100.0,Year,3.0,"['Microsoft Powerpoint', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Access', 'Process improvement', 'Mid-level', 'Microsoft Office', ""Bachelor's degree"", 'Data collection', '2 years', 'Communication skills']",44100.0,Data Analyst
Data Analyst,Dade County Federal Credit Union,Doral,FL,Unknown,62325.87219178082,84745.32857020549,Year,3.0,"['Microsoft Word', 'Microsoft Excel', 'Data analysis skills', 'Mid-level', '3 years', 'High school diploma or GED', 'Analysis skills']",73535.60038099316,Data Analyst
Associate Data Management Analyst,Northrop Grumman,Wright-Patterson AFB,OH,Unknown,61200.0,91800.0,Year,4.0,"['Microsoft Word', 'Microsoft Excel', 'TS/SCI', 'Writing skills', 'High school diploma or GED', 'Math', ""Bachelor's degree"", 'Communication skills', 'Entry level']",76500.0,Data Analyst
Data Analyst- Mammography,AnMed,Anderson,SC,Full-time,30500.0,40200.0,Year,7.0,"['High school diploma or GED', 'Computer skills', 'Typing', 'Communication skills']",35350.0,Data Analyst
Data Analyst,Maximus,Tysons,VA,Unknown,58400.0,63500.0,Year,0.041666666666666664,"['Microsoft Word', 'Cognos', 'Microsoft Excel', 'Business intelligence', 'SAS', 'Salesforce', 'Mid-level', '3 years', 'SQL', 'Database administration', 'Analysis skills', ""Bachelor's degree"", 'Communication skills']",60950.0,Data Analyst
Provider Data Management Analyst I,Centene,Missouri,Unknown,Full-time,19.04,32.35,Hour,0.4583333333333333,"['Microsoft Excel', 'Customer service', 'Medical office experience', 'Data analysis skills', 'High school diploma or GED', 'Analysis skills', 'Data entry', ""Associate's degree""]",25.695,Data Analyst
Data Analyst,Axalta Coating Systems,Troy,MI,Full-time,58900.0,71100.0,Year,0.041666666666666664,"['Power BI', 'Microsoft Excel', 'Salesforce', 'Data analysis skills', 'Process improvement', 'Visio', 'Information Systems', 'Tableau', ""Master's degree"", 'Algorithms', 'SQL', 'Process mapping', 'Statistical analysis', 'Analysis skills', ""Bachelor's degree"", 'Machine learning', 'Business Administration', '1 year', 'Data visualization', 'AI', 'Business', 'Communication skills']",65000.0,Data Analyst
Data Analyst,"Ready Pac Produce, Inc.",Irwindale,CA,Full-time,26.44,31.25,Hour,0.041666666666666664,"['Computer science', 'Bachelor of Fine Arts', 'Mid-level', 'Tableau', ""Bachelor's degree"", '2 years']",28.845,Data Analyst
"Analyst, Analytics",Dentsu,Maryland,Unknown,Full-time,51000.0,73098.0,Year,10.0,"['Power BI', 'Tableau', 'SQL', ""Bachelor's degree"", '1 year', 'Data visualization', 'Entry level']",62049.0,Data Analyst
"Analyst, Business Intelligence (BI)",New College of Florida,Sarasota,FL,Full-time,59200.0,72400.0,Year,0.625,"['Statistics', 'Computer science', 'Power BI', 'Data mining', 'R', 'Data analysis skills', 'Mid-level', 'Tableau', 'Analysis skills', ""Bachelor's degree"", 'Predictive analytics', 'Communication skills', 'Python']",65800.0,Data Analyst
Traffic Technology Data Analyst,The State of Oklahoma,Oklahoma County,OK,Full-time,33.94,33.94,Hour,0.875,"['Mathematics', 'Mid-level', 'SQL', ""Driver's License"", ""Bachelor's degree"", '2 years']",33.94,Data Analyst
Business Analyst,Synergent,Westbrook,ME,Full-time,60281.0,75351.0,Year,0.875,"['Mid-level', 'Unit testing']",67816.0,Data Analyst
Jr Data Analyst Entry Level PUERTO RICO,The Cervantes Group,San Juan,PR,Full-time,62325.87219178082,84745.32857020549,Year,0.875,"['Bilingual', 'Spanish', 'Power BI', 'Microsoft Excel', 'Microsoft SQL Server', 'No experience needed', 'Tableau', 'SQL', ""Bachelor's degree"", 'Agile', 'Business requirements', 'Entry level']",73535.60038099316,Data Analyst
"Analyst, Data",Molina Healthcare,Albany,NY,Full-time,77969.0,116835.0,Year,0.08333333333333333,"['Data mining', 'Mid-level', ""Bachelor's degree"", 'Text mining', '1 year']",97402.0,Data Analyst
Financial Data and Reporting Ops Analyst,Bank of America,Pennington,NJ,Full-time,71400.0,102000.0,Year,0.5416666666666666,"['Microsoft Excel', 'Mid-level', 'Analysis skills']",86700.0,Data Analyst
Junior Data Analyst,Steampunk,El Paso,TX,Unknown,35000.0,60000.0,Year,5.0,"['Power BI', 'Microsoft Excel', 'Customer service', 'Secret Clearance', 'Analysis skills', ""Bachelor's degree"", '1 year', 'Communication skills']",47500.0,Data Analyst
Research/Data Analyst - Driver License Bureau,State of Missouri,Jefferson City,MO,Full-time,62325.87219178082,84745.32857020549,Year,10.0,"['Statistical software', 'Microsoft Excel', 'Computer literacy', 'Writing skills', 'Tableau', 'CDL', 'High school diploma or GED', 'Analysis skills', ""Driver's License"", ""Bachelor's degree"", 'Computer skills', 'Communication skills', 'Entry level']",73535.60038099316,Data Analyst
"Associate, Business Analyst, Models Infrastructure, Multi-Asset Strategies & Solutions (MASS)",BlackRock Investments,Atlanta,GA,Unknown,105000.0,140000.0,Year,10.0,"['Investment', 'Microsoft Excel', 'Data analysis skills', 'Employee orientation', 'Mid-level', 'Tableau', 'SQL']",122500.0,Data Analyst
Research Data Analyst,State of Missouri,Jefferson City,MO,Full-time,62325.87219178082,84745.32857020549,Year,7.0,"['SAS', 'Mid-level', 'Tableau', 'SQL', ""Bachelor's degree"", '2 years']",73535.60038099316,Data Analyst
Data Research Associate,Equifax,St. Louis,MO,Full-time,44700.0,58100.0,Year,7.0,"['Google Suite', 'Customer service', 'Mid-level', 'High school diploma or GED', 'Analysis skills', 'Organizational skills', '2 years']",51400.0,Data Analyst
Junior Business Intelligence (BI) Analyst,Phillips & Cohen Associates Ltd.,Wilmington,DE,Full-time,48900.0,76800.0,Year,3.0,"['Business intelligence', 'Computer Science', 'SAS', 'Data analysis skills', 'Tableau', 'SQL', 'Analysis skills', ""Bachelor's degree"", 'Data science', 'Data visualization', 'Business', 'PCA', 'Communication skills', 'Entry level', 'Under 1 year']",62850.0,Data Analyst
FOIA Analyst,Cameo Consulting Group LLC,Washington,DC,Unknown,74000.0,75000.0,Year,3.0,[],74500.0,Data Analyst
Provider Data Quality Analyst,Blue Cross and Blue Shield of Kansas,Topeka,KS,Full-time,23.0,27.3,Hour,12.0,"['Microsoft Word', 'Microsoft Excel', 'Microsoft Access', 'Management', 'Mid-level', 'Microsoft Office', 'High school diploma or GED', 'Accounting', 'Organizational skills', 'Business Administration', '2 years', 'Communication skills']",25.15,Data Analyst
"Network Data Analyst, D&V",Aflac,Florida,Unknown,Unknown,48000.0,60000.0,Year,3.0,"['Analysis skills', ""Bachelor's degree"", 'Data entry', 'Business Administration', '2 years', 'Communication skills']",54000.0,Data Analyst
Data Entry Analyst,"MRCOOL, LLC",Hickory,KY,Full-time,31100.0,35800.0,Year,4.0,"['Microsoft Word', 'Google Suite', 'Google Docs', 'Microsoft Excel', 'Sales', 'Customer service', 'Word processing', 'ERP systems', 'English', 'Microsoft Office', 'Databases', 'Average typing speed (60-80 WPM)', 'High school diploma or GED', 'Computer hardware', 'Data entry', 'Typing', 'Data collection', 'Marketing']",33450.0,Data Analyst
Business Analyst,Intone Networks,Brooklyn,NY,Contract,90200.0,118000.0,Year,4.0,[],104100.0,Data Analyst
RESEARCH DATA ANALYST I,Department of Forestry & Fire Protection,Shasta County,CA,Full-time,4339.0,6720.0,Year,13.0,"['C#', 'R', ""Bachelor's degree"", '1 year']",5529.5,Data Analyst
"Part-Time Data Analyst, Temporary",Indiana University,Bloomington,IN,Part-time,30.0,30.0,Hour,3.0,"['CRM software', 'Salesforce Marketing Cloud', 'Microsoft Excel', 'Content management systems', 'Data analysis skills', 'SQL', 'Analysis skills', 'IT', 'Root cause analysis', ""Associate's degree"", 'Communication skills', 'Entry level', 'Time management']",30.0,Data Analyst
Inventory Analyst,"Ulta Beauty, Inc.",Bolingbrook,IL,Full-time,56200.0,70000.0,Year,3.0,"['Microsoft Excel', 'SAP', 'Mid-level', 'Microsoft Office', 'Analysis skills', ""Bachelor's degree"", 'Forecasting', 'Retail math']",63100.0,Data Analyst
Business Intelligence Analyst,Allegheny Health Network,Pennsylvania,Unknown,Full-time,53100.0,82400.0,Year,3.0,"['Power BI', 'R', 'Data analysis skills', 'SSRS', 'Mid-level', 'Tableau', 'SQL', ""Bachelor's degree"", 'Warehouse experience']",67750.0,Data Analyst
HR Data Operations Programmer/Analyst,California State University (CSU) Chancellor's Office,Long Beach,CA,Unknown,4228.0,12444.0,Year,3.0,"['Software troubleshooting', 'Mid-level', 'Application development', 'Project management', ""Bachelor's degree"", 'Human resources', 'COBOL', 'SharePoint', 'Payroll']",8336.0,Data Analyst
Analyst Customer Support Performance Analytics,JetBlue Airways Corporation,Orlando,FL,Unknown,52800.0,72200.0,Year,3.0,"['Power BI', 'Microsoft Excel', 'Sales', 'Customer service', 'Relational databases', 'Writing skills', 'Data analysis skills', 'English', 'Mid-level', 'Tableau', 'Databases', 'High school diploma or GED', 'SQL', 'Analysis skills', ""Bachelor's degree"", 'Customer support', '1 year', 'Data visualization']",62500.0,Data Analyst
Management Analyst I,City of Fresno,Fresno,CA,Full-time,4413.0,5339.0,Year,5.0,"['Bilingual', 'Management', 'Public Administration', ""Driver's License"", ""Bachelor's degree"", 'PeopleSoft', 'Organizational skills', 'Business Administration', 'Business', 'Entry level']",4876.0,Data Analyst
RESEARCH DATA ANALYST I,CA State Lottery,Sacramento County,CA,Full-time,4339.0,6720.0,Year,7.0,"['Customer service', 'Writing skills', 'C#', 'Construction', 'Budgeting', 'Training & development', '1 year']",5529.5,Data Analyst
Business Analyst Training & Placements,CARE IT SERVICES INC,Jersey City,NJ,Full-time | Contract,70000.0,90000.0,Year,0.9583333333333334,[],80000.0,Data Analyst
Programs Data Analyst,Litchfield Elementary School District #79,Litchfield Park,AZ,Unknown,38600.0,45700.0,Year,0.9583333333333334,"['Microsoft Excel', 'English', 'High school diploma or GED']",42150.0,Data Analyst
Research Data Analyst (6257U) 77879,University of California Berkeley,Berkeley,CA,Full-time | Contract,90000.0,105000.0,Year,3.0,"['Microsoft Excel', 'Management', 'R', 'Mid-level', ""Master's degree"", 'Analysis skills', 'Database management', 'Sentiment analytics', ""Bachelor's degree"", 'Machine learning', 'Master of Public Affairs', 'Master of Public Policy', 'Text classification', 'Quantitative analysis']",97500.0,Data Analyst
"Data Analyst – E-commerce, Automation & AI (Remote) - Cannabis Brand",OG INC,United States,Unknown,Full-time,19.0,20.0,Hour,5.0,"['Google Docs', 'System design', 'E-commerce', 'Product management', 'QuickBooks', 'AI']",19.5,Data Analyst
Special Investigations Unit - Data Analyst I,The Cincinnati Insurance Companies,Fairfield,OH,Unknown,40000.0,52000.0,Year,7.0,"['Microsoft Word', 'Microsoft Excel', 'Analysis skills', ""Associate's degree"", 'Communication skills', 'Adobe Acrobat']",46000.0,Data Analyst
